ChEBI_ID	Primary_Name
CHEBI:5530	gramicidin S
CHEBI:9437	temoporfin
CHEBI:9457	terpinolene
CHEBI:9460	testolactone
CHEBI:9493	tetrahymanol
CHEBI:9494	tetramethylchloromethylrosamine
CHEBI:9519	thebaine
CHEBI:9587	ticarcillin
CHEBI:9592	tiglic acid
CHEBI:6375	lansoprazole
CHEBI:6413	letrozole
CHEBI:6441	levacetylmethadol
CHEBI:7454	nalbuphine
CHEBI:7478	naratriptan
CHEBI:8163	phosphoramide mustard
CHEBI:8228	pioglitazone
CHEBI:8249	piroxicam
CHEBI:8355	pralidoxime chloride
CHEBI:8357	pramocaine
CHEBI:2340	docebenone
CHEBI:2367	abyssinone I
CHEBI:2368	abyssinone V
CHEBI:2375	(-)-syringaresinol O,O'-bis(beta-D-glucoside)
CHEBI:2379	acebutolol
CHEBI:2401	acetophenazine
CHEBI:2404	acetosyringone
CHEBI:3175	brimonidine
CHEBI:3181	bromocriptine
CHEBI:3219	bupropion
CHEBI:3228	butabarbital
CHEBI:3542	cephalothin sodium
CHEBI:3547	cephradine
CHEBI:4387	deltaline
CHEBI:4466	dexmedetomidine
CHEBI:4488	diallyl disulfide
CHEBI:4509	diclofenac sodium
CHEBI:4511	dicloxacillin
CHEBI:9342	sulfinpyrazone
CHEBI:5070	flavanone
CHEBI:5262	galangin
CHEBI:9884	5-[bis(2-chloroethyl)amino]uracil
CHEBI:9908	ursolic acid
CHEBI:9948	verapamil
CHEBI:9951	veratramine
CHEBI:8707	quetiapine
CHEBI:8711	quinacrine
CHEBI:8768	rabeprazole
CHEBI:2972	baclofen
CHEBI:2980	5,6,7-trimethoxyflavone
CHEBI:1189	2-methoxyestrone
CHEBI:1224	2-nitrofluorene
CHEBI:1547	3-hydroxykynurenine
CHEBI:6762	mepyramine
CHEBI:6804	methacholine
CHEBI:6888	6alpha-methylprednisolone
CHEBI:6904	metoprolol
CHEBI:6908	trichlorfon
CHEBI:3918	crocetin
CHEBI:3000	beauvericin
CHEBI:3001	beclomethasone
CHEBI:3061	bepridil
CHEBI:3077	betamethasone
CHEBI:3089	biapenem
CHEBI:4885	ethionamide
CHEBI:7565	nifedipine
CHEBI:7573	nilutamide
CHEBI:8600	prunetin
CHEBI:8613	psilocin
CHEBI:5897	indicine
CHEBI:8459	promazine
CHEBI:8461	promethazine
CHEBI:9622	tolterodine
CHEBI:9630	tomatine
CHEBI:9635	toremifene
CHEBI:9654	trazodone
CHEBI:9738	trimipramine
CHEBI:2755	anthragallol
CHEBI:4792	enflurane
CHEBI:4630	diosmetin
CHEBI:5764	hordenine
CHEBI:5768	(1E,4E,8E)-alpha-humulene
CHEBI:5779	hydrocodone
CHEBI:5835	hypericin
CHEBI:9321	sulbactam
CHEBI:9329	sulfadoxine
CHEBI:9331	sulfamethizole
CHEBI:10577	gamma-terpinene
CHEBI:10589	m-toluic acid
CHEBI:6498	lipoxin A4
CHEBI:6503	lisinopril dihydrate
CHEBI:6541	losartan
CHEBI:6605	lysergic acid diethylamide
CHEBI:6695	(+)-marmesin
CHEBI:6704	mebendazole
CHEBI:6714	(+)-medicarpin
CHEBI:5552	guaiol
CHEBI:5601	(+)-haematoxylin
CHEBI:9232	spinosyn D
CHEBI:18662	(R)-epichlorohydrin
CHEBI:3380	captopril
CHEBI:3390	carbaryl
CHEBI:2549	albuterol
CHEBI:2567	alendronic acid
CHEBI:8116	phorbol
CHEBI:8207	(+)-pilocarpine
CHEBI:19228	2'-O-methylcytidine
CHEBI:20339	4-chloroindole-3-acetic acid
CHEBI:2968	bacampicillin
CHEBI:3614	chlorhexidine
CHEBI:3654	chlorthalidone
CHEBI:8428	procainamide
CHEBI:8430	procaine
CHEBI:47	(+)-syringaresinol
CHEBI:1427	3-(3-hydroxyphenyl)propanoic acid
CHEBI:6807	methadone
CHEBI:6877	trans-isomethyleugenol
CHEBI:8093	phenylephrine
CHEBI:10057	9H-xanthene
CHEBI:10093	yohimbine
CHEBI:10101	zalcitabine
CHEBI:8277	podocarpic acid
CHEBI:8346	potassium iodide
CHEBI:8356	pramipexole
CHEBI:8378	prednisolone
CHEBI:5002	fenoldopam
CHEBI:8614	psilocybin
CHEBI:8645	purpurin
CHEBI:8647	purpurogallin
CHEBI:5296	gemfibrozil
CHEBI:9566	thioridazine
CHEBI:9674	triazolam
CHEBI:5855	ibuprofen
CHEBI:9330	sulfamic acid
CHEBI:9400	tangeretin
CHEBI:7777	ophiobolin A
CHEBI:7781	orientin
CHEBI:7823	oxazepam
CHEBI:8212	pimozide
CHEBI:8214	pindolol
CHEBI:8240	piperonal
CHEBI:8247	pirenzepine
CHEBI:4139	D-galactopyranose
CHEBI:13719	acetylsalicylate
CHEBI:2423	acetylleucyl-leucyl-norleucinal
CHEBI:2437	acronycine
CHEBI:7775	ononin
CHEBI:4372	(6S)-dehydrovomifoliol
CHEBI:9753	troglitazone
CHEBI:9123	sertraline
CHEBI:9169	sisomycin
CHEBI:4911	etoposide
CHEBI:4913	etretinate
CHEBI:3962	curcumin
CHEBI:4027	cyclophosphamide
CHEBI:4047	L-cysteinylglycine
CHEBI:5009	fenoxycarb
CHEBI:5011	fenpyroximate
CHEBI:5062	finasteride
CHEBI:26271	proline
CHEBI:25189	1,4-dimercaptobutane-2,3-diol
CHEBI:25234	1-methoxy-N-nitrosodiethylamine
CHEBI:23995	N-ethyl-N-nitrosourea
CHEBI:22660	aspartic acid
CHEBI:22689	bafilomycin A1
CHEBI:19203	1H-pyrrole
CHEBI:25094	lysine
CHEBI:19391	2,6-dibromophenol
CHEBI:24782	imide
CHEBI:24813	3-(indol-3-yl)lactic acid
CHEBI:20364	4-fluorobenzoic acid
CHEBI:22469	alpha-terpineol
CHEBI:25646	octanoate
CHEBI:26911	oxolane
CHEBI:24898	isoleucine
CHEBI:24729	6-hydroxynicotine
CHEBI:7563	N-nicotinoylglycine
CHEBI:12256	7-hydroxyisoflavone
CHEBI:11412	(2R,3S,4S)-leucocyanidin
CHEBI:3005	belladine
CHEBI:3023	benzbromarone
CHEBI:1367	3,3',4,4'-tetrachlorobiphenyl
CHEBI:3605	chloramphenicol palmitate
CHEBI:7936	paroxetine
CHEBI:7444	nadolol
CHEBI:6109	kanamycin A sulfate
CHEBI:9546	thimerosal
CHEBI:6384	latanoprost
CHEBI:6402	leflunomide
CHEBI:669	1-phenylethanol
CHEBI:1911	4-nitroanisole
CHEBI:9925	sodium valproate
CHEBI:6887	methylphenidate
CHEBI:6950	mirtazapine
CHEBI:15208	taxuyunnanin C
CHEBI:4208	D-mannopyranose
CHEBI:3766	clozapine
CHEBI:470	1'-acetoxyeugenol acetate
CHEBI:4775	ellagic acid
CHEBI:920	2,4-dinitrotoluene
CHEBI:945	2,6-dichloroindophenol
CHEBI:9509	thalicarpine
CHEBI:10119	ziprasidone
CHEBI:122	(-)-usnic acid
CHEBI:128	(S)-(-)-alpha-terpineol
CHEBI:5063	fipronil
CHEBI:5107	Fluo-3
CHEBI:5121	flupenthixol
CHEBI:5132	flutamide
CHEBI:6099	kaempferide
CHEBI:8736	(R)-(+)-propranolol
CHEBI:3159	botrydial
CHEBI:3179	bromobenzene
CHEBI:18624	(E)-1,3-dichloropropene
CHEBI:14336	glycerol 1-phosphate
CHEBI:3441	carvedilol
CHEBI:3479	cefadroxil
CHEBI:3533	cephaeline
CHEBI:4453	desogestrel
CHEBI:4638	diphenidol
CHEBI:4640	diphenylamine
CHEBI:3638	chloroquine
CHEBI:3647	chlorpromazine
CHEBI:1879	2-(4-hydroxyphenyl)ethanol
CHEBI:4868	estramustine
CHEBI:4883	ethidium bromide
CHEBI:5014	fenvalerate
CHEBI:5078	flavonol
CHEBI:5130	flurbiprofen
CHEBI:9984	vincaleukoblastine sulfate
CHEBI:29987	glutamate(2-)
CHEBI:29919	hydrosulfide
CHEBI:10588	1-(3-chlorophenyl)piperazine
CHEBI:30118	tetrachloroplatinate(2-)
CHEBI:30119	hexachloroplatinate(2-)
CHEBI:29571	dehydroabietic acid
CHEBI:1438	3-(methylthio)propionic acid
CHEBI:2438	acrophylline
CHEBI:4593	dihydroxyfumaric acid
CHEBI:29368	sulfamide
CHEBI:5659	hentriacontane
CHEBI:3688	chrysophanol 8-O-beta-D-glucoside
CHEBI:3534	cephalexin
CHEBI:29449	hydrogen azide
CHEBI:4648	hop-22(29)-ene
CHEBI:2424	acetylpyruvic acid
CHEBI:8984	sodium dodecyl sulfate
CHEBI:7613	nonacosane
CHEBI:29851	phenylarsonic acid
CHEBI:10782	(S)-(-)-perillyl alcohol
CHEBI:24564	hexamethylmelamine
CHEBI:21848	N(5)-methyl-L-arginine
CHEBI:19812	24-methylenecholesterol
CHEBI:27017	desmethyl tocotrienol
CHEBI:27273	vanadic acid
CHEBI:25620	2-nitrobenzoic acid
CHEBI:29223	bromate
CHEBI:29226	iodate
CHEBI:19577	2-fluorobenzoic acid
CHEBI:22990	camalexin
CHEBI:22998	canadine
CHEBI:22899	bisdechlorogeodin
CHEBI:18723	nicotine
CHEBI:24848	inositol
CHEBI:25474	naphthalene-1-sulfonate
CHEBI:22526	4-aminofolic acid
CHEBI:21285	erythro-4-hydroxy-L-glutamic acid
CHEBI:22152	2-cis-abscisic acid
CHEBI:22450	(6aR,11aS,11bR)-10-acetyl-11-hydroxy-7,7-dimethyl-2,6,6a,7,11a,11b-hexahydro-9H-pyrrolo[1',2':2,3]isoindolo[4,5,6-cd]indol-9-one
CHEBI:25017	leucine
CHEBI:20140	3-methylquinoline
CHEBI:19363	2,5-bis(aziridin-1-yl)-1,4-benzoquinone
CHEBI:25957	9,10-epoxy-9,10-dihydrophenanthrene
CHEBI:26078	phosphoric acid
CHEBI:27266	valine
CHEBI:23359	colchicine
CHEBI:23681	dibenzothiophene
CHEBI:18898	1,2-dinitroglycerol
CHEBI:19032	1-bromo-2-chloroethane
CHEBI:21626	N-acetylphenylalanine
CHEBI:20607	5-methylcytidine
CHEBI:18855	1,2,3,4-tetrachlorobenzene
CHEBI:23837	diphenic acid
CHEBI:9711	triflupromazine
CHEBI:7493	nedocromil sodium
CHEBI:6128	ketoprofen
CHEBI:29510	abietol
CHEBI:10100	zafirlukast
CHEBI:670	1-phenylethylamine
CHEBI:1808	(4-chlorophenoxy)acetic acid
CHEBI:10432	2-naphthol
CHEBI:19809	24-epicampesterol
CHEBI:8382	prednisone
CHEBI:6842	methoxychlor
CHEBI:8828	rhodamine 123
CHEBI:8888	ropinirole
CHEBI:9445	terazosin
CHEBI:6682	mangiferin
CHEBI:6801	metformin
CHEBI:29484	(S)-4,5-dihydroxypentane-2,3-dione
CHEBI:3491	cefonicid
CHEBI:9086	(-)-selegiline
CHEBI:8746	(R)-salbutamol
CHEBI:2364	abrusoside A
CHEBI:2417	acetylcholine chloride
CHEBI:2540	alantolactone
CHEBI:2636	amifostine
CHEBI:2942	azadirachtin A
CHEBI:7459	naloxone
CHEBI:1751	chromotropic acid
CHEBI:7466	nandrolone
CHEBI:5136	(3S,5R)-fluvastatin
CHEBI:8597	protriptyline
CHEBI:3393	carbenicillin
CHEBI:5959	irbesartan
CHEBI:6061	isosorbide dinitrate
CHEBI:6775	mesalamine
CHEBI:20651	5alpha-ergosta-7,22-dien-3beta-ol
CHEBI:29813	fulminic acid
CHEBI:8055	5-methylphenazinium methyl sulfate
CHEBI:8075	phenoxyacetic acid
CHEBI:5337	(1E,4E)-germacrene B
CHEBI:8464	prontosil
CHEBI:6343	labetalol
CHEBI:6601	lycorine
CHEBI:9337	sulfathiazole
CHEBI:9434	telmisartan
CHEBI:29377	sodium carbonate
CHEBI:30201	hexafluorophosphate(1-)
CHEBI:2866	ascaridole
CHEBI:3104	5-[(8Z)-pentadec-8-enyl]resorcinol
CHEBI:29132	N-acetyl-1,4-benzoquinone imine
CHEBI:4469	(S)-amphetamine
CHEBI:8050	phenacetin
CHEBI:8502	6-propyl-2-thiouracil
CHEBI:4918	O-methyleugenol
CHEBI:2618	amantadine
CHEBI:9328	sulfadiazine
CHEBI:7635	2-hydroxychrysophanol
CHEBI:469	1'-acetoxychavicol acetate
CHEBI:9212	sparfloxacin
CHEBI:508	1,2-epoxy-3-(4-nitrophenoxy)propane
CHEBI:28	(R)-linalool
CHEBI:42	(+)-pronuciferine
CHEBI:3015	benomyl
CHEBI:3639	chlorothalonil
CHEBI:4754	econazole
CHEBI:6715	medroxyprogesterone
CHEBI:3682	chrysazin
CHEBI:743	pedilstatin
CHEBI:4876	etacrynic acid
CHEBI:4042	cypermethrin
CHEBI:7640	nortriptyline
CHEBI:3611	chlordiazepoxide
CHEBI:9588	ticlopidine
CHEBI:9053	sclareol
CHEBI:2791	aprobarbital
CHEBI:3207	budesonide
CHEBI:3723	citalopram
CHEBI:6076	itraconazole
CHEBI:3210	bufotenin
CHEBI:9410	taurodeoxycholic acid
CHEBI:2670	ammodendrine
CHEBI:5441	glyburide
CHEBI:25434	bis(2-chloroethyl) sulfide
CHEBI:8887	rofecoxib
CHEBI:2542	alatolide
CHEBI:2611	alprazolam
CHEBI:7522	neriifolin
CHEBI:8113	phlorizin
CHEBI:8364	prazosin
CHEBI:9536	thiamylal
CHEBI:4903	17alpha-ethynylestradiol
CHEBI:5862	idazoxan
CHEBI:1958	5'-dehydroadenosine
CHEBI:2003	5,6-dihydroxyindole-2-carboxylic acid
CHEBI:29321	sodium nitroprusside
CHEBI:2663	amiodarone
CHEBI:23716	difluoroacetic acid
CHEBI:10650	sumatriptan
CHEBI:6031	isonicotinamide
CHEBI:20021	3-fluorobenzoic acid
CHEBI:6980	monocrotaline
CHEBI:9907	ursodeoxycholic acid
CHEBI:5818	hydroxyzine
CHEBI:7307	N-methylpyrrolidin-2-one
CHEBI:25255	methyl methanesulfonate
CHEBI:4791	endosulfan
CHEBI:4806	(-)-epigallocatechin 3-gallate
CHEBI:24557	1,3,5-trinitroso-1,3,5-triazinane
CHEBI:2674	amodiaquine
CHEBI:3127	bisoprolol
CHEBI:8776	ranitidine
CHEBI:24814	indole-3-methanol
CHEBI:3903	coumaphos
CHEBI:4623	(carboxymethyl)(dimethyl)sulfonium
CHEBI:3540	cephalotaxine
CHEBI:11302	10-desacetyltaxuyunnanin C
CHEBI:5050	fexofenadine
CHEBI:5103	flumazenil
CHEBI:5120	fluoxymesterone
CHEBI:5141	fomepizole
CHEBI:5195	furazolidone
CHEBI:2979	baicalein
CHEBI:9073	secobarbital
CHEBI:9505	nitro blue tetrazolium dichloride
CHEBI:9642	N-tosyl-L-phenylalanyl chloromethyl ketone
CHEBI:2981	baicalin
CHEBI:5138	fluvoxamine
CHEBI:4356	desferrioxamine B
CHEBI:4917	eugenol
CHEBI:3131	bithionol
CHEBI:8713	quinapril
CHEBI:10124	zolmitriptan
CHEBI:5790	hydromorphone
CHEBI:4781	emetine
CHEBI:8024	perindopril
CHEBI:4653	dipyridamole
CHEBI:4657	disopyramide
CHEBI:4659	disulfiram
CHEBI:4681	dofetilide
CHEBI:7856	oxybutynin
CHEBI:3259	CCCP
CHEBI:9398	tamsulosin
CHEBI:7852	oxycodone
CHEBI:7809	oxacillin
CHEBI:3687	chrysophanol
CHEBI:5001	fenofibrate
CHEBI:89	(-)-camphene
CHEBI:2369	abyssinone VI
CHEBI:2415	acetylcaranine
CHEBI:6067	isotretinoin
CHEBI:9233	spiperone
CHEBI:7735	olanzapine
CHEBI:2673	amobarbital
CHEBI:9775	tubulosine
CHEBI:2953	azinphos-methyl
CHEBI:2666	amitriptyline
CHEBI:3561	cetirizine
CHEBI:2440	acrovestone
CHEBI:29585	5-aminocyclohexa-1,3-diene-1-carboxylic acid
CHEBI:8499	propranolol
CHEBI:5557	guanethidine
CHEBI:119	D-synephrine
CHEBI:3750	clofibrate
CHEBI:3764	clotrimazole
CHEBI:8871	risperidone
CHEBI:2687	amsacrine
CHEBI:4708	doxazosin
CHEBI:5118	fluoxetine
CHEBI:4798	entacapone
CHEBI:2341	AACOCF3
CHEBI:3223	buspirone
CHEBI:8028	perphenazine
CHEBI:3423	carmustine
CHEBI:4819	lysergamide
CHEBI:5672	heptan-2-one
CHEBI:6047	isoprothiolane
CHEBI:5555	guanadrel
CHEBI:1391	3,4-methylenedioxymethamphetamine
CHEBI:4331	dauricine
CHEBI:8368	precocene I
CHEBI:9943	venlafaxine
CHEBI:2781	apocynin
CHEBI:2624	amastatin
CHEBI:2637	amikacin
CHEBI:6872	methylene blue
CHEBI:3011	benazepril
CHEBI:9122	sertindole
CHEBI:5692	hexachlorobenzene
CHEBI:2622	amarogentin
CHEBI:9288	streptozocin
CHEBI:7514	neostigmine
CHEBI:3481	cefamandole nafate
CHEBI:2628	ambenonium chloride
CHEBI:4776	ellipticine
CHEBI:3649	chlorpromazine hydrochloride
CHEBI:9774	tubocurarine
CHEBI:2904	atenolol
CHEBI:8448	procyclidine
CHEBI:12336	alpha-cyclopiazonic acids
CHEBI:3515	cefuroxime
CHEBI:2654	aminoglutethimide
CHEBI:2950	azelastine
CHEBI:9729	trimethaphan camsylate
CHEBI:7872	oxytocin
CHEBI:10125	zolpidem
CHEBI:23414	copper(II) sulfate
CHEBI:23101	N,N'-diacetylchitobioses
CHEBI:3498	cefotaxime sodium
CHEBI:2896	astemizole
CHEBI:2946	azatadine
CHEBI:4317	dantrolene
CHEBI:3379	capsular polysaccharide
CHEBI:7445	nafarelin
CHEBI:9364	suramin sodium
CHEBI:2501	aethusin
CHEBI:3528	cellotriose
CHEBI:5650	helveticoside
CHEBI:27306	vitamin B6
CHEBI:27314	water-soluble vitamin (role)
CHEBI:5631	heavy metal
CHEBI:5170	fraxin
CHEBI:6377	lapachol
CHEBI:29623	manumycin A
CHEBI:8803	remikiren
CHEBI:6618	Met-enkephalin
CHEBI:5013	fenuron
CHEBI:6907	metoxuron
CHEBI:4668	divaricoside
CHEBI:10098	Z-Phe-Phe-CHN2
CHEBI:7609	nomilin
CHEBI:3472	cathenamine
CHEBI:9691	piperyline
CHEBI:3495	ceforanide
CHEBI:3619	chlormezanone
CHEBI:3636	chloroprocaine
CHEBI:3165	bradykinin
CHEBI:3814	colestipol
CHEBI:3892	corticotropin
CHEBI:3349	candicidin D
CHEBI:4724	dyclonine
CHEBI:4707	doxacurium chloride
CHEBI:4785	enalapril maleate
CHEBI:4753	ecothiopate
CHEBI:4746	echinenone
CHEBI:4953	exemestane
CHEBI:5853	ibogamine
CHEBI:4947	thiocyclam
CHEBI:4471	dextromethorphan hydrobromide
CHEBI:3488	cefluprenam
CHEBI:5869	imazaquin
CHEBI:3291	cafestol
CHEBI:8604	pseudoephedrine hydrochloride
CHEBI:8714	quinapril hydrochloride
CHEBI:9649	trandolapril
CHEBI:6574	lupulone
CHEBI:13611	4-hydroxy carboxylic acid
CHEBI:14216	erythrulose 1-phosphate
CHEBI:6133	khellin
CHEBI:6821	methaqualone
CHEBI:6839	methoxamine
CHEBI:8939	flumioxazin
CHEBI:5356	ginkgolide B
CHEBI:29602	gibberellin A6
CHEBI:6049	isoproturon
CHEBI:9673	triasulfuron
CHEBI:23148	chloromethanes
CHEBI:5373	(S)-glaucine
CHEBI:8809	resiniferatoxin
CHEBI:9044	savinin
CHEBI:6964	molinate
CHEBI:10224	alpha-cubebene
CHEBI:3503	cefpirome
CHEBI:29598	gibberellin A5
CHEBI:9584	desiccated thyroid extract
CHEBI:9055	scoparone
CHEBI:4510	diclofop-methyl
CHEBI:3092	bicuculline
CHEBI:10022	deoxynivalenol
CHEBI:8657	pyrazolynate
CHEBI:766	estriol 16-O-(beta-D-glucuronide)
CHEBI:4357	deguelin
CHEBI:27283	very long-chain fatty acid
CHEBI:3496	cefoselis
CHEBI:6853	rac-methyl 6-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)-m-toluate
CHEBI:5408	glucolepidiin
CHEBI:969	2-(2-(4-methoxyphenyl)ethyl)chromone
CHEBI:3416	carfentrazone-ethyl
CHEBI:2894	imazamethabenz-methyl
CHEBI:3708	cinmethylin
CHEBI:5105	flumipropyn
CHEBI:9271	stevioside
CHEBI:8047	phaseolotoxin
CHEBI:6510	lochnericine
CHEBI:1893	4-methyl-L-glutamate(1-)
CHEBI:7051	myosmine
CHEBI:2718	angiotensin I
CHEBI:3556	cercosporin
CHEBI:2515	agnuside
CHEBI:7524	nerolidol
CHEBI:8989	SN-38 carboxylate
CHEBI:7542	neurotensin
CHEBI:5371	glaucarubinone
CHEBI:29702	undecylprodigiosin
CHEBI:9381	T-2 toxin
CHEBI:4601	diloxanide furoate
CHEBI:3932	cryptopleurine
CHEBI:8907	rubixanthin
CHEBI:9430	tefluthrin
CHEBI:4613	dimethyl telluride
CHEBI:4685	dolichodial
CHEBI:4033	cycloxydim
CHEBI:6147	kuwanone H
CHEBI:6461	lilaline
CHEBI:3224	buspirone hydrochloride
CHEBI:24329	glutarate
CHEBI:7210	N-acetylleukotriene E4
CHEBI:3502	cefozopran
CHEBI:7719	ochratoxin A
CHEBI:4752	(-)-echitovenine
CHEBI:5097	fluazifop-butyl
CHEBI:23591	dehydroamino acid
CHEBI:5765	hoerhammericine
CHEBI:29707	yersiniabactin
CHEBI:2612	alstonine
CHEBI:23139	chlorocyclohexene
CHEBI:6268	L-lyxonic acid
CHEBI:21990	O(4')-glycosyl-L-tyrosine
CHEBI:365	haloxyfop
CHEBI:24527	herbicide
CHEBI:9683	trichlormethiazide
CHEBI:6723	megestrol acetate
CHEBI:4537	difloxacin
CHEBI:3209	buformin
CHEBI:4480	diacetylmonoxime
CHEBI:2943	azafenidin
CHEBI:3415	carfentrazone
CHEBI:7518	cis-trans-nepetalactone
CHEBI:7519	trans-cis-nepetalactone
CHEBI:2596	alliin
CHEBI:3535	cephalexin monohydrate
CHEBI:7549	N(gamma)-nitro-L-arginine methyl ester
CHEBI:9440	tenuazonic acid
CHEBI:22901	bisphenol
CHEBI:5784	hydroflumethiazide
CHEBI:7859	oxycodone hydrochloride
CHEBI:23869	dodecenoyl-CoA
CHEBI:3652	chlorsulfuron
CHEBI:4732	E3040
CHEBI:6972	monardaein
CHEBI:9492	tetrahydrozoline hydrochloride
CHEBI:5832	hypaphorine
CHEBI:2468	secondary alpha-hydroxy ketone
CHEBI:3017	bensulfuron-methyl
CHEBI:24279	glucosinolate
CHEBI:6358	lactucin
CHEBI:9260	15alpha-stemmadenine
CHEBI:4733	E3040 glucuronide
CHEBI:3887	(-)-coronaridine
CHEBI:4712	doxercalciferol
CHEBI:29385	cyclooctasulfur
CHEBI:9192	solavetivone
CHEBI:4460	devazepide
CHEBI:5019	ferrichrome
CHEBI:3656	chlozolinate
CHEBI:8450	procymidone
CHEBI:8866	rimsulfuron
CHEBI:7778	orbencarb
CHEBI:29703	validamycin A
CHEBI:4811	epoxiconazole
CHEBI:9144	silibinin
CHEBI:9143	silychristin
CHEBI:9138	silandrin
CHEBI:2372	acalyphin
CHEBI:2373	acamelin
CHEBI:2412	acetylagmatine
CHEBI:5015	ferbam
CHEBI:25339	methylpseudouridine
CHEBI:29988	L-glutamate(2-)
CHEBI:636	1-isomangostin
CHEBI:9371	swertianin
CHEBI:6141	knipholone
CHEBI:3359	cannabidiolic acid
CHEBI:2519	agroclavine
CHEBI:23702	dichlorophenol
CHEBI:26273	proline derivative
CHEBI:9112	sennoside A
CHEBI:3381	(-)-car-3-ene
CHEBI:26	(+)-iridodial lactol
CHEBI:2164	6-acetamido-3-aminohexanoic acid
CHEBI:2288	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one
CHEBI:2366	absinthin
CHEBI:23925	(+)-5-epi-aristolochene
CHEBI:15243	threonate
CHEBI:2760	3,4,5-trimethoxyphenol
CHEBI:2991	aloin A
CHEBI:8908	rubrofusarin
CHEBI:3443	caryoptin
CHEBI:3187	browniine
CHEBI:5402	glucocochlearin(1-)
CHEBI:8081	phentolamine
CHEBI:2677	Augmentin
CHEBI:18721	3-chloropropane-1,2-diol
CHEBI:22736	benzoyl-CoAs
CHEBI:23147	chlorohydroquinones
CHEBI:23700	dichlorohydroquinone
CHEBI:23156	chlorophenylmethane
CHEBI:29673	rifamycin SV
CHEBI:7612	nonacosan-10-one
CHEBI:29863	coronene
CHEBI:4055	cytisine
CHEBI:7864	oxymetholone
CHEBI:7953	pemoline
CHEBI:2769	apigenin 7,4'-dimethyl ether
CHEBI:6647	mahuannin D
CHEBI:21658	N-acylglutamic acid
CHEBI:6412	leptosidin
CHEBI:3363	canthin-6-one
CHEBI:2994	barringtogenol C
CHEBI:8764	mycophenolate mofetil
CHEBI:3724	citalopram hydrobromide
CHEBI:4530	diethylpropion
CHEBI:3222	burseran
CHEBI:2665	amitraz
CHEBI:2155	6,8-di-(3,3-dimethylallyl)chrysin
CHEBI:2304	3-O-methyl-8-prenylgalangin
CHEBI:2185	6-geranylchrysin
CHEBI:29687	teicoplanin
CHEBI:2740	ankorine
CHEBI:9661	triacetin
CHEBI:835	2'-deoxy-5-hydroxymethyl-CDP
CHEBI:888	2,3-disulfanylpropane-1-sulfonic acid
CHEBI:29582	ascomycin
CHEBI:3162	bowdichione
CHEBI:1162	2-hydroxyhepta-2,4-dienedioic acid
CHEBI:6701	maytansine
